customer_id,age,income,occupation,gender,marital_status,family_size,residential_area
CUST0000,18,213454.32096621496,Service,M,Single,1,Suburban
CUST0001,46,79040.575628111,Professional,M,Single,1,Suburban
CUST0002,44,53450.79465489054,Self-employed,F,Single,1,Suburban
CUST0003,18,80128.73008770045,Student,M,Single,1,Urban
CUST0004,29,111908.88492773847,Professional,M,Married,5,Suburban
CUST0005,26,65708.80731046155,Service,M,Single,1,Suburban
CUST0006,26,37598.969750025164,Professional,F,Single,1,Rural
CUST0007,18,45052.810154222796,Student,M,Single,1,Urban
CUST0008,27,40633.927930319776,Student,F,Single,1,Rural
CUST0009,42,183694.80023395666,Service,F,Single,1,Urban
CUST0010,65,54673.75846730707,Service,F,Married,5,Suburban
CUST0011,39,61933.36298816705,Self-employed,F,Single,1,Urban
CUST0012,36,94212.80333995214,Service,F,Married,3,Suburban
CUST0013,28,44597.68847379213,Professional,M,Single,1,Urban
CUST0014,27,81978.99743240837,Professional,F,Single,1,Urban
CUST0015,46,63050.35189779175,Professional,M,Single,1,Urban
CUST0016,38,87819.13932389261,Professional,F,Married,5,Urban
CUST0017,27,61755.43227995805,Professional,M,Single,1,Suburban
CUST0018,22,61977.83307999846,Others,F,Single,1,Suburban
CUST0019,33,114771.31767021024,Student,M,Single,1,Rural
CUST0020,28,45929.9042707967,Professional,M,Single,1,Urban
CUST0021,34,84575.56711029078,Professional,F,Single,1,Suburban
CUST0022,32,102053.39093940792,Professional,F,Single,1,Suburban
CUST0023,39,49431.28992716395,Service,M,Married,4,Suburban
CUST0024,19,37532.93626330753,Student,F,Single,1,Urban
CUST0025,48,74905.45358842256,Professional,F,Married,2,Suburban
CUST0026,68,98470.66965674172,Retired,Other,Married,2,Rural
CUST0027,49,110442.32345051174,Professional,F,Single,1,Suburban
CUST0028,37,46597.165287383075,Professional,M,Single,1,Suburban
CUST0029,45,116285.10349326264,Professional,M,Married,1,Urban
CUST0030,22,110416.67342850006,Student,F,Single,1,Urban
CUST0031,18,73601.22210646597,Others,F,Single,1,Suburban
CUST0032,44,139619.16616618016,Service,M,Married,5,Suburban
CUST0033,28,61498.97013370504,Professional,M,Single,1,Urban
CUST0034,18,51035.58328283735,Service,F,Single,1,Rural
CUST0035,24,63900.07444575534,Student,M,Single,1,Urban
CUST0036,21,44491.75264831298,Student,M,Single,1,Rural
CUST0037,36,59962.14552447072,Professional,M,Married,1,Suburban
CUST0038,41,79129.11811323791,Professional,M,Single,1,Urban
CUST0039,45,86324.66749335527,Professional,M,Single,1,Urban
CUST0040,45,98391.22727444507,Self-employed,F,Married,2,Urban
CUST0041,44,42373.86895007992,Others,M,Single,1,Urban
CUST0042,32,242734.8325558073,Professional,M,Single,1,Urban
CUST0043,27,48760.01818638455,Professional,M,Single,1,Suburban
CUST0044,18,82888.91658038684,Student,M,Single,1,Suburban
CUST0045,48,93654.81623760509,Professional,M,Single,1,Urban
CUST0046,32,56523.91812602059,Professional,F,Single,1,Suburban
CUST0047,30,89708.37455814608,Professional,F,Single,1,Urban
CUST0048,49,59597.849691738826,Service,M,Married,2,Rural
CUST0049,24,66534.21426693376,Student,M,Single,1,Urban
CUST0050,45,188492.76198517074,Professional,M,Single,1,Rural
CUST0051,38,64317.67227889269,Professional,F,Single,1,Suburban
CUST0052,22,67877.18553810722,Student,F,Single,1,Urban
CUST0053,34,49787.82171647864,Student,M,Single,1,Suburban
CUST0054,46,108685.59119968253,Self-employed,F,Single,1,Urban
CUST0055,44,60147.78485208921,Professional,M,Married,5,Urban
CUST0056,52,97489.44085034434,Self-employed,F,Married,4,Suburban
CUST0057,39,118185.8505691596,Professional,F,Single,1,Rural
CUST0058,75,66771.04327138542,Self-employed,F,Married,4,Urban
CUST0059,23,84395.37992322633,Student,F,Single,1,Urban
CUST0060,30,82750.11315147998,Service,M,Single,1,Suburban
CUST0061,34,115067.05489247493,Professional,F,Single,1,Suburban
CUST0062,18,80321.2406567462,Self-employed,F,Single,1,Urban
CUST0063,47,142569.4782826562,Professional,F,Married,5,Urban
CUST0064,45,73410.0572158492,Service,M,Single,1,Urban
CUST0065,35,47264.92304440586,Professional,M,Single,1,Rural
CUST0066,28,40224.14514693103,Self-employed,F,Single,1,Suburban
CUST0067,18,37167.20334399651,Student,F,Single,1,Suburban
CUST0068,25,60271.48028157449,Others,F,Single,1,Rural
CUST0069,43,85970.64507521589,Professional,F,Married,5,Suburban
CUST0070,32,55524.94250888246,Student,F,Single,1,Rural
CUST0071,29,54315.82809151158,Student,F,Single,1,Suburban
CUST0072,41,65876.73005224299,Service,F,Single,1,Urban
CUST0073,48,82870.58320959602,Professional,F,Married,1,Rural
CUST0074,38,141060.6415004034,Service,M,Single,1,Urban
CUST0075,38,42368.33089234019,Professional,M,Single,1,Urban
CUST0076,51,113696.04352081836,Professional,F,Married,5,Urban
CUST0077,37,96782.07013095007,Professional,M,Single,1,Urban
CUST0078,31,65139.58143529214,Others,F,Single,1,Urban
CUST0079,43,94334.54761135127,Self-employed,M,Single,1,Suburban
CUST0080,31,66806.76381075649,Others,M,Married,4,Rural
CUST0081,30,89930.80821753701,Professional,F,Single,1,Rural
CUST0082,50,61028.64993861639,Self-employed,F,Married,5,Urban
CUST0083,31,49892.75390206377,Self-employed,M,Married,1,Suburban
CUST0084,18,34326.08482321717,Student,F,Single,1,Urban
CUST0085,39,91345.9610924766,Service,F,Single,1,Suburban
CUST0086,30,56446.40009230819,Others,F,Single,1,Suburban
CUST0087,31,41953.062204150665,Service,M,Single,1,Suburban
CUST0088,40,54357.91126972837,Service,F,Single,1,Rural
CUST0089,33,92396.4463246539,Professional,F,Married,1,Urban
CUST0090,37,81324.97781212228,Professional,M,Single,1,Urban
CUST0091,18,44517.8202958116,Others,F,Single,1,Rural
CUST0092,23,120062.36737208786,Student,F,Single,1,Rural
CUST0093,51,82996.55379879127,Self-employed,F,Married,1,Urban
CUST0094,34,90182.0089870616,Self-employed,F,Single,1,Urban
CUST0095,18,67058.61404513015,Student,M,Single,1,Rural
CUST0096,22,58931.71476575812,Others,M,Single,1,Urban
CUST0097,23,78780.99555577648,Student,F,Single,1,Urban
CUST0098,36,122354.41756747944,Professional,F,Single,1,Urban
CUST0099,29,62722.99445246021,Student,F,Single,1,Urban
CUST0100,27,94876.24683628317,Professional,F,Single,1,Urban
CUST0101,35,57052.65803890929,Professional,M,Single,1,Suburban
CUST0102,40,167636.5660441324,Professional,M,Single,1,Urban
CUST0103,31,52585.0568726302,Service,M,Married,1,Suburban
CUST0104,28,176976.4966448751,Others,M,Single,1,Rural
CUST0105,29,45238.678838611406,Professional,F,Single,1,Rural
CUST0106,39,67288.19383043698,Professional,M,Married,3,Suburban
CUST0107,34,89484.37798951584,Others,F,Married,5,Suburban
CUST0108,44,135323.0121978233,Professional,M,Single,1,Urban
CUST0109,21,129271.58296958292,Student,F,Single,1,Urban
CUST0110,25,125714.82468006782,Professional,F,Single,1,Rural
CUST0111,44,96029.69834645656,Self-employed,M,Married,2,Urban
CUST0112,25,50612.36790027001,Professional,M,Single,1,Urban
CUST0113,51,128936.12800551813,Others,M,Married,5,Suburban
CUST0114,51,136103.57933836445,Professional,F,Single,1,Urban
CUST0115,51,96973.0611367838,Professional,M,Single,1,Urban
CUST0116,24,54634.3990908731,Student,F,Single,1,Rural
CUST0117,35,49860.391683192196,Professional,Other,Married,3,Rural
CUST0118,29,53766.88528642929,Professional,F,Single,1,Suburban
CUST0119,46,61421.83683633779,Service,M,Married,1,Rural
CUST0120,55,89476.79041491772,Service,F,Married,3,Suburban
CUST0121,45,125726.02530121128,Self-employed,M,Single,1,Suburban
CUST0122,35,78190.25433327712,Service,M,Single,1,Urban
CUST0123,30,46570.524495836085,Service,F,Married,4,Urban
CUST0124,42,106314.0647904279,Service,F,Married,4,Suburban
CUST0125,20,146129.29095553834,Student,M,Single,1,Suburban
CUST0126,41,82006.73413539487,Student,M,Married,5,Suburban
CUST0127,24,51768.612178516814,Student,M,Married,5,Urban
CUST0128,42,54906.411837795036,Self-employed,F,Married,2,Urban
CUST0129,33,95512.83763408195,Professional,M,Married,2,Suburban
CUST0130,30,138941.23532335876,Professional,Other,Single,1,Urban
CUST0131,24,59599.10579346505,Service,F,Single,1,Suburban
CUST0132,30,57917.64042949653,Service,F,Single,1,Urban
CUST0133,41,81220.21525786491,Service,M,Single,1,Urban
CUST0134,47,114892.52898118607,Professional,F,Single,1,Suburban
CUST0135,41,59110.065113805416,Self-employed,F,Single,1,Suburban
CUST0136,51,93894.54903940327,Professional,F,Single,1,Urban
CUST0137,65,117157.125764012,Self-employed,M,Single,1,Urban
CUST0138,31,91912.21415558811,Professional,M,Married,4,Suburban
CUST0139,32,48976.60204569496,Professional,M,Single,1,Urban
CUST0140,18,45233.69421546362,Student,F,Single,1,Suburban
CUST0141,49,87281.2943313152,Service,F,Single,1,Rural
CUST0142,50,114153.88756036345,Professional,F,Married,1,Urban
CUST0143,24,165663.95757189058,Self-employed,M,Single,1,Rural
CUST0144,42,52500.98481770841,Professional,M,Single,1,Urban
CUST0145,49,93420.41713256692,Professional,M,Married,3,Urban
CUST0146,37,76086.64519239418,Professional,M,Single,1,Urban
CUST0147,45,68536.25975820753,Professional,M,Single,1,Rural
CUST0148,37,124331.05858076688,Self-employed,F,Single,1,Urban
CUST0149,20,81977.84632521952,Student,F,Single,1,Urban
CUST0150,47,106428.00703833764,Professional,F,Single,1,Rural
CUST0151,50,55101.28997629398,Professional,M,Married,2,Suburban
CUST0152,43,69658.11610384082,Professional,M,Married,2,Urban
CUST0153,23,68094.37202288947,Service,M,Single,1,Urban
CUST0154,25,72990.97242696556,Professional,F,Single,1,Suburban
CUST0155,21,181692.3631054734,Self-employed,M,Single,1,Urban
CUST0156,44,71704.84098629863,Self-employed,F,Married,1,Urban
CUST0157,50,42093.56914885448,Others,M,Single,1,Suburban
CUST0158,40,80227.71068390398,Service,F,Married,1,Urban
CUST0159,46,101542.25872322262,Self-employed,F,Married,5,Rural
CUST0160,24,68879.60665588839,Professional,M,Single,1,Rural
