transaction_id,customer_id,outlet_id,transaction_date,purchase_amount,num_items,payment_method,discount_applied,weekend_flag,time_of_day
TRX000000,CUST0908,OUT001,2025-01-02 16:58:44.005056,1209.685433283792,4,Cash,0.13764688003685893,0,Afternoon
TRX000001,CUST0623,OUT005,2025-01-23 22:36:20.776662,1399.0884552232062,4,UPI,0.06492798989373773,0,Morning
TRX000002,CUST0297,OUT002,2025-01-31 17:47:04.280359,2622.3407250085443,6,Debit Card,0.5400390665278678,0,Afternoon
TRX000003,CUST0291,OUT005,2025-01-13 20:12:42.346313,1102.607048745275,6,Credit Card,0.5330149568736269,0,Afternoon
TRX000004,CUST0497,OUT004,2025-01-29 13:34:34.483980,606.6322672770799,2,Cash,0.20148729652042913,0,Evening
TRX000005,CUST0871,OUT009,2024-11-26 08:10:24.925033,247.77835277609537,1,Debit Card,0.308706921476838,0,Morning
TRX000006,CUST0800,OUT003,2025-01-26 07:34:18.765965,833.7848170058346,5,Debit Card,0.5038767275655538,1,Afternoon
TRX000007,CUST0959,OUT006,2025-01-15 10:11:15.005573,698.9580452510894,7,Credit Card,0.48643453571407824,0,Afternoon
TRX000008,CUST0069,OUT009,2025-01-14 23:07:12.313191,2734.06729076583,22,Cash,0.5203975535359292,0,Afternoon
TRX000009,CUST0261,OUT006,2025-01-07 15:23:34.868889,916.8185074587595,17,Debit Card,0.1715134034906326,0,Evening
TRX000010,CUST0077,OUT003,2024-12-17 06:24:32.133391,3036.9639707728843,6,Credit Card,0.1917289459648904,0,Afternoon
TRX000011,CUST0756,OUT002,2025-01-12 14:52:48.430595,376.020889757122,8,Credit Card,0.022206274177399704,1,Evening
TRX000012,CUST0139,OUT003,2025-01-31 06:07:52.868531,2956.1574251978723,5,Debit Card,0.07331717898585517,0,Afternoon
TRX000013,CUST0096,OUT001,2024-12-18 19:15:55.661939,1999.8953387734039,9,Credit Card,0.27395535376283614,0,Afternoon
TRX000014,CUST0559,OUT003,2025-01-29 05:10:44.480956,563.7598095420038,12,UPI,0.37697301219487794,0,Evening
TRX000015,CUST0403,OUT003,2025-01-01 09:12:51.998057,1456.8350892337955,6,Credit Card,0.22216520108225735,0,Morning
TRX000016,CUST0717,OUT004,2024-12-14 08:40:04.944881,2171.4668655865294,4,Cash,0.14038552788723468,1,Morning
TRX000017,CUST0481,OUT000,2025-01-21 19:41:54.632432,1570.8939930304161,3,Debit Card,0.17751484626135602,0,Evening
TRX000018,CUST0416,OUT001,2025-01-14 03:38:33.918121,614.7242495527248,13,UPI,0.4272137102974694,0,Afternoon
TRX000019,CUST0416,OUT007,2025-01-31 08:31:12.507309,882.66647362364,4,Credit Card,0.2725274273353368,0,Evening
TRX000020,CUST0878,OUT007,2024-12-13 21:02:01.342854,3042.23778851037,15,Cash,0.1105664284446705,0,Evening
TRX000021,CUST0385,OUT007,2024-12-26 14:11:12.348292,1076.210181214323,6,Wallet,0.22782504971697815,0,Afternoon
TRX000022,CUST0324,OUT004,2025-01-24 03:26:07.957693,1838.7187099821097,7,Wallet,0.3949776575665595,0,Afternoon
TRX000023,CUST0329,OUT007,2025-01-17 04:45:22.532803,722.9899714292849,7,Credit Card,0.3253622444495002,0,Afternoon
TRX000024,CUST0194,OUT008,2024-12-27 11:12:35.231554,2763.932455744929,21,Credit Card,0.23943026610847157,0,Morning
TRX000025,CUST0865,OUT003,2025-01-18 11:39:12.463662,1244.3627121986813,6,Credit Card,0.3729248469629468,1,Evening
TRX000026,CUST0144,OUT003,2025-01-26 11:18:33.914975,799.6619883772664,12,Debit Card,0.15104943709284557,1,Evening
TRX000027,CUST0910,OUT006,2025-01-10 02:41:49.437864,612.3206445929561,4,Cash,0.18253453859311142,0,Afternoon
TRX000028,CUST0278,OUT004,2024-12-24 14:08:55.194507,2074.445711504847,7,Credit Card,0.3502518979155343,0,Morning
TRX000029,CUST0901,OUT009,2025-01-20 12:22:55.294114,1985.6708745911578,11,Cash,0.29750814012430304,0,Morning
TRX000030,CUST0797,OUT000,2025-01-28 06:25:30.424583,1214.608598159963,11,Credit Card,0.15099463583448652,0,Morning
TRX000031,CUST0582,OUT007,2024-12-09 17:02:08.688596,3288.0880212023612,3,Cash,0.09662478682761827,0,Evening
TRX000032,CUST0675,OUT003,2025-01-23 10:05:26.617859,2025.671720336091,7,UPI,0.2903274926720977,0,Morning
TRX000033,CUST0317,OUT007,2025-01-10 05:09:23.554480,347.35822199256,12,Debit Card,0.07590739206370405,0,Evening
TRX000034,CUST0573,OUT001,2024-12-27 13:32:18.781994,2986.136927963888,7,Debit Card,0.2869554608495109,0,Evening
TRX000035,CUST0287,OUT003,2025-01-20 08:19:47.522745,769.8308884032256,8,Cash,0.3060408340521126,0,Evening
TRX000036,CUST0393,OUT001,2024-12-31 15:50:38.783825,904.8581058588388,17,UPI,0.08500238198486196,0,Afternoon
TRX000037,CUST0772,OUT004,2025-01-13 08:38:59.453496,462.2988861170169,14,Wallet,0.3634120804223751,0,Evening
TRX000038,CUST0239,OUT009,2025-01-06 16:31:36.056716,1589.8791022324424,8,Debit Card,0.18754308385114105,0,Afternoon
TRX000039,CUST0845,OUT009,2025-01-04 23:57:12.947360,1272.4006347492873,8,UPI,0.25310891619320564,1,Evening
TRX000040,CUST0367,OUT007,2024-12-10 21:27:52.607151,500.22375889154995,5,Credit Card,0.3357932336461287,0,Afternoon
TRX000041,CUST0528,OUT006,2024-12-30 23:54:41.826501,408.1096885276666,13,Credit Card,0.5946780597329664,0,Afternoon
TRX000042,CUST0940,OUT004,2025-01-22 18:55:06.402376,2238.1723387285933,4,UPI,0.3028624215189351,0,Afternoon
TRX000043,CUST0687,OUT006,2025-01-30 07:40:09.665001,3566.564145380948,11,Debit Card,0.25559434969574674,0,Morning
TRX000044,CUST0648,OUT004,2025-01-31 23:29:08.286372,2317.3093197470575,3,Credit Card,0.060015113035484235,0,Afternoon
TRX000045,CUST0715,OUT006,2024-11-22 07:31:34.803645,1460.4872257583859,15,Debit Card,0.2412519393430732,0,Evening
TRX000046,CUST0918,OUT003,2024-11-07 16:29:03.683946,799.8696496227678,7,Debit Card,0.0654718553880965,0,Morning
TRX000047,CUST0243,OUT003,2025-01-29 03:45:09.153147,1275.0031125970763,4,Debit Card,0.07389513223773449,0,Morning
TRX000048,CUST0611,OUT009,2025-01-12 02:15:22.312695,1284.4935861967258,3,Credit Card,0.3270549492099762,1,Morning
TRX000049,CUST0391,OUT003,2025-01-27 01:33:01.864978,932.3118887759076,16,Credit Card,0.2623387131965699,0,Afternoon
TRX000050,CUST0009,OUT007,2024-11-04 00:46:51.321588,720.3398198432985,6,Cash,0.26852321813602664,0,Morning
TRX000051,CUST0121,OUT000,2025-01-23 11:49:11.771748,2146.5096410966994,10,UPI,0.08390209658993682,0,Afternoon
TRX000052,CUST0316,OUT009,2025-01-11 06:28:29.802373,1855.2931038127483,15,Credit Card,0.11843993973844226,1,Morning
TRX000053,CUST0562,OUT004,2025-01-26 17:32:55.371115,615.2553146747233,4,Debit Card,0.03403685312608497,1,Morning
